Unnamed: 0,Rain(mm),PET1(mm/h),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-11 02:30:00,0.0,0.0003582575967889,-0.55,0.11566666666666665,1.1613797416809306,141.49201246103158
2021-06-11 03:00:00,0.0,7.195808461487338e-07,-0.55,0.11566666666666665,1.0706047067642317,130.43280253113014
2021-06-11 03:30:00,0.0,0.0004018447640663,-0.51,0.11566666666666665,0.9715744572570645,118.36785185702348
2021-06-11 04:00:00,0.0,0.0004301222515947,-0.42,0.11599999999999999,1.8759435859896745,228.54801381404323
2021-06-11 04:30:00,0.0,0.0011417010865737,-0.52,0.11599999999999999,0.822427983874173,100.19719336089076
2021-06-11 05:00:00,0.0,0.0008289124379616,-0.56,0.11599999999999999,1.1189396454257285,136.32149465994
2021-06-11 05:30:00,0.0,7.971055346463584e-07,-0.51,0.11599999999999999,0.5417527730278842,66.00226210344826
2021-06-11 06:00:00,0.0,9.177433831789662e-07,-0.44,0.11666666666666665,0.683283367126509,83.2450706914781
2021-06-11 06:30:00,0.0,8.44827183895099e-07,-0.52,0.11666666666666665,0.7021518410834064,85.54383504599139
2021-06-11 07:00:00,0.0,0.0007190532566562,-0.66,0.11633333333333333,0.8855079159466436,107.8822822379543
2021-06-11 07:30:00,0.0,0.0003624330281182,-0.73,0.11633333333333333,1.5545637016463953,189.3939929815385
2021-06-11 08:00:00,0.0,0.000672385247766,-0.79,0.11633333333333333,1.916644453715878,233.50663972838515
2021-06-11 08:30:00,0.0,0.0009838581701812,-0.82,0.11633333333333333,2.462085552447528,299.9582541045726
2021-06-11 09:00:00,0.0,0.0012780245806449,-0.85,0.11599999999999999,3.0044445807468243,366.0343768716252
2021-06-11 09:30:00,0.0,0.000937249184293,-0.94,0.11599999999999999,4.206840081429282,512.5233787543451
2021-06-11 10:00:00,0.0,0.0953877394073229,-1.01,0.11566666666666665,4.835947559843588,589.1681487468807
2021-06-11 10:30:00,0.0,0.095454351454896,-1.1,0.11566666666666665,5.708611847086408,695.4856793300695
