Unnamed: 0,Rain(mm),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-13 18:30:00,0.0,-1.45,0.08933333333333333,14.519752117401048,1348.8448555574384
2021-06-13 19:00:00,0.0,-1.32,0.08933333333333333,13.988423438818533,1255.973422468491
2021-06-13 19:30:00,0.0,-1.26,0.08933333333333333,12.843679656783692,1159.525137100869
2021-06-13 20:00:00,0.0,-1.18,0.08900000000000001,12.094161848285788,1086.7953690562354
2021-06-13 20:30:00,0.0,-1.13,0.08900000000000001,11.076584758687762,988.2393947665197
2021-06-13 21:00:00,0.0,-1.05,0.08833333333333333,9.123432153390045,791.1683366746225
2021-06-13 21:30:00,0.0,-1.13,0.08833333333333333,7.133413658898013,585.705747975456
2021-06-13 22:00:00,0.0,-1.09,0.08666666666666667,5.613135200670923,438.12054767926435
2021-06-13 22:30:00,0.0,-1.14,0.08666666666666667,4.155446597480575,304.18209915835564
2021-06-13 23:00:00,0.0,-1.06,0.08666666666666667,3.4171214861039676,241.30688381199687
2021-06-13 23:30:00,0.0,-0.92,0.08666666666666667,2.6971170649753007,173.59685579203145
2021-06-14 00:00:00,0.0,-0.79,0.08633333333333333,1.899211989946314,101.11291528117584
2021-06-14 00:30:00,0.0,-0.67,0.08633333333333333,1.7221075220933615,91.28259012826949
2021-06-14 01:00:00,0.0,-0.63,0.08700000000000001,1.1737205184827513,11.647489146439252
2021-06-14 01:30:00,0.0,-0.56,0.08700000000000001,1.0205385599060883,28.619864333891215
2021-06-14 02:00:00,0.0,-0.47,0.08666666666666667,0.7762077920858959,-5.289183453371088
2021-06-14 02:30:00,0.0,-0.43,0.08666666666666667,0.4504493574695381,-53.625324601806305
2021-06-14 03:00:00,0.0,-0.43,0.08700000000000001,0.1970190129216936,-72.38504376747237
2021-06-14 03:30:00,0.0,-0.33,0.08700000000000001,0.29017237198469936,-32.63366142478285
2021-06-14 04:00:00,0.0,-0.51,0.08700000000000001,-0.022982187064064408,-91.69693668691261
2021-06-14 04:30:00,0.0,-0.61,0.08700000000000001,-0.1907016509401999,-100.84595743962977
2021-06-14 05:00:00,0.0,-0.59,0.08733333333333333,-0.5191233846003535,-113.51867956500867
2021-06-14 05:30:00,0.0,-0.52,0.08733333333333333,-0.2610212609494519,-104.13730473365582
2021-06-14 06:00:00,0.0,-0.46,0.08766666666666667,-0.2610212609494519,-104.13730473365582
2021-06-14 06:30:00,0.0,-0.35,0.08766666666666667,-0.2868341188954822,-105.80369903485784
2021-06-14 07:00:00,0.0,-0.24,0.08800000000000001,0.14174061162145257,-57.59235075294097
2021-06-14 07:30:00,0.0,-0.24,0.08800000000000001,0.09270103237362504,-63.37520672382391
2021-06-14 08:00:00,0.0,-0.19,0.08800000000000001,0.3784472516472779,-36.215654542371176
2021-06-14 08:30:00,0.0,-0.14,0.08800000000000001,0.8730111744601863,28.17316604149645
2021-06-14 09:00:00,0.0,-0.01,0.08800000000000001,2.2070638426757982,138.01829794641472
2021-06-14 09:30:00,0.0,-0.02,0.08800000000000001,2.6249904455955457,184.489700447326
2021-06-14 10:00:00,0.0,-0.13,0.08766666666666667,5.822148548353029,504.057433285242
2021-06-14 10:30:00,0.0,-0.72,0.08766666666666667,10.348690507632037,955.0539863801678
2021-06-14 11:00:00,0.0,-0.85,0.08733333333333333,14.447068344287226,1335.7349495037822
2021-06-14 11:30:00,0.0,-0.93,0.08733333333333333,16.550657062617695,1543.3081438398426
2021-06-14 12:00:00,0.0,-1.08,0.08733333333333333,17.809676241017648,1659.45980510958
